id,category,garhwali,hindi,english
1310,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
1311,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1312,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1313,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1314,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1315,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1316,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1317,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1318,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1319,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1320,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
1321,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1322,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1323,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1324,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1325,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1326,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1327,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1328,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1329,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1330,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1331,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1332,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
1333,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
1334,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1335,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1336,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
1337,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1338,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1339,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1340,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1341,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
1342,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1343,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1344,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
1345,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1346,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1347,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1348,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1349,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1350,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1351,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1352,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1353,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
1354,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1355,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1356,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1357,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
1358,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1359,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1360,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1361,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1362,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1363,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1364,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
1365,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1366,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1367,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1368,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1369,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1370,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1371,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1372,greetings,जै हो!,जय हो!,Greetings!
1373,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1374,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1375,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1376,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1377,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
1378,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1379,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1380,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1381,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1382,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1383,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1384,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1385,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1386,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1387,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1388,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1389,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1390,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1391,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1392,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1393,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1394,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1395,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1396,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1397,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1398,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1399,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1400,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
1401,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1402,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1403,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1404,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1405,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1406,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1407,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1408,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1409,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1410,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1411,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1412,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1413,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1414,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1415,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1416,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1417,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1418,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1419,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1420,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1421,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1422,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1423,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1424,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1425,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1426,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1427,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1428,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1429,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1430,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1431,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1432,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1433,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1434,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1435,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1436,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1437,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1438,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1439,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1440,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1441,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1442,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1443,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1444,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1445,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1446,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1447,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1448,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1449,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1450,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1451,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1452,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1453,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1454,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1455,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1456,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1457,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1458,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1459,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1460,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1461,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1462,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1463,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1464,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1465,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1466,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1467,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1468,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1469,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1470,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1471,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
1472,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1473,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1474,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1475,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1476,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1477,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1478,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1479,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
1480,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1481,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1482,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1483,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1484,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1485,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1486,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1487,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1488,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1489,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1490,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1491,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1492,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1493,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1494,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1495,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1496,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1497,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1498,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1499,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1500,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1501,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1502,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1503,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1504,greetings,जै हो!,जय हो!,Greetings!
1505,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1506,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1507,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1508,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1509,greetings,जै हो!,जय हो!,Greetings!
1510,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1511,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1512,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1513,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1514,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1515,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1516,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1517,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1518,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1519,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1520,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1521,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1522,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1523,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1524,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1525,greetings,जै हो!,जय हो!,Greetings!
1526,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1527,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1528,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1529,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1530,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
1531,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1532,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
1533,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1534,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
1535,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
1536,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1537,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1538,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1539,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1540,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1541,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1542,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1543,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1544,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1545,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1546,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1547,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1548,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1549,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1550,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1551,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1552,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
1553,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1554,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1555,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1556,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1557,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1558,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1559,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1560,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1561,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1562,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1563,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1564,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1565,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1566,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1567,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1568,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1569,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1570,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
1571,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1572,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1573,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1574,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1575,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
1576,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1577,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
1578,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1579,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1580,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1581,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1582,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1583,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1584,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1585,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
1586,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1587,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1588,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1589,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1590,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1591,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1592,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
1593,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1594,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
1595,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1596,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1597,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1598,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1599,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1600,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
1601,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
1602,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1603,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1604,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
1605,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1606,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1607,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1608,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1609,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
1610,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1611,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
1612,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1613,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1614,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
1615,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1616,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1617,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1618,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1619,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1620,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
1621,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
1622,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1623,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
1624,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
1625,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1626,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
1627,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1628,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1629,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
1630,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
1631,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
1632,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
1633,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
1634,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
